Holdouts (From the 1534 list),Status,Classification,Notes,Sources,Done By
1RB1LB_1LC0RC_1RE0LD_0RE0LA_1RA1RF_---1RC,HALT,Unknown,"Halt with score of 4168466895404 steps (~4e12), further confirmed by -d (verified)",1; 2,"Alistaire, -d"
1RB0RD_1LC1LD_1RD0LB_1LC0RE_0RF1RA_---1RC,HALT,Unknown,Halt with score of 1494091455617567657 steps (~1.5e18) (verified),1,Alistaire
1RB1LE_0RC0RE_1LC0LD_1LA0RE_1RF0LA_---0RA,NONHALT,Unknown,Individual proof (January 2026),1,mxdys
1RB1LB_0RC0LB_0LD0RA_1LE---_1LF1LC_0LA1LA,NONHALT,Unknown,FAR (with mxdys's DFA generator) round 4,1,mxdys
1RB0RF_1RC---_1RD1LF_1RE0RD_0LC1RA_1LC0LF,NONHALT,Unknown,Simulated to 1.1005e14 steps. FAR cert.,1; 2,"Andrew Ducharme, Alistaire"
1RB1LD_1RC0RB_0LA1RE_1LA0LD_1RF0RD_1RA---,NONHALT,Unknown,FAR cert.,1,Andrew Ducharme
1RB0LD_1RC0RE_0LA0RC_1LA1LD_0RF1RA_---1RC,NONHALT,Unknown,FAR cert.,1,Andrew Ducharme
1RB0RB_1LC0LE_0RF1LD_1RA0LB_1RA0RD_---0RC,NONHALT,Unknown,FAR cert.,1,Andrew Ducharme
1RB0LD_0RC1RF_1RD0RA_1LE1RB_1LC0LE_1RC---,NONHALT,Unknown,FAR cert.,1,Andrew Ducharme
1RB0LA_0RC---_1RD1RE_1LA1LD_1RD0RF_0RC1RC,NONHALT,Unknown,FAR cert.,1,Andrew Ducharme
1RB1RF_1LC1LB_---0LD_1RE0LD_0RA1RA_0LE0RE,NONHALT,Unknown,FAR cert.,1,Andrew Ducharme
1RB1RD_1LC1LE_1RA0LB_1RE---_1RF0LC_1RC0RF,NONHALT,Unknown,FAR cert.,1,mxdys
1RB1RE_1LC0RF_1RE0LD_1LC0LB_1RA0RE_1RC---,NONHALT,Unknown,FAR cert. (March 2026),1,Andrew Ducharme
1RB0RE_1LC1RA_0LA1LD_1RE1LC_0RF1RB_---0LC,NONHALT,Unknown,FAR cert. (March 2026),1,Andrew Ducharme
1RB0LC_1RC0RA_1LD0RB_---0LE_1RA0LF_1LE0LF,EQUIVALENCE,Unknown,"""Might be easy"" + code, analysis. Merged into another equivalence class in April 2026.",1; 2; 3,"mxdys, -d"
1RB0LD_1RC1RE_1LA0RB_0LF1LA_0LC---_0RA0LA,EQUIVALENCE,Unknown,Possible bouncer with high params. Merged into another equivalence class in April 2026.,"1, 2","mxdys, -d"
1RB0LC_0RC0LA_1RD0RF_1LE0LD_1RA0LD_1RE---,EQUIVALENCE,Unknown,Simulated to 1e19.65987 steps. Merged into another equivalence class in April 2026.,1; 2; 3,Alistaire
1RB0RA_1LC0RA_1LF0RD_1LA0LE_1LB---_0LD0RC,EQUIVALENCE,Unknown,"Simulated to 1e19.84495, may halt. Merged into another equivalence class in April 2026.",1; 2; 3,Alistaire
1RB0LF_1LC0LB_1RD0LB_0RA0RE_1RF---_0RD0RC,EQUIVALENCE,Unknown,Merged into another equivalence class in April 2026.,"1, 2","mxdys, -d"
1RB0LF_1RC0LD_1RD0RB_1LE0RC_---0LA_1LA0LF,EQUIVALENCE,Unknown,Merged into another equivalence class in April 2026.,"1, 2","mxdys, -d"
1RB0LD_0RC0RB_0LD1RB_1LD1LE_1LF---_0LA1RA,EQUIVALENCE,Unknown,Merged into another equivalence class in April 2026.,"1, 2","mxdys, -d"
