ops	steps	M	K	N	zone
4446	358404	203	4	14	4
4460	358696	203	4	15	2,1,1
4475	359008	203	4	16	1,1,2
4489	359332	203	4	17	1,1,1,1
4506	359684	204	3	18	1,2
4520	360040	204	3	19	1,1,1
4535	360416	204	3	20	1,2
4549	360804	204	3	21	2,1
4565	361224	203	4	22	1,3
4579	361644	203	4	23	1,1,1,1
4594	362084	203	4	24	1,1,2
4608	362536	203	4	25	1,1,1,1
4625	363016	203	4	26	1,1,2
4639	363500	203	4	27	1,1,1,1
4654	364004	203	4	28	2,2
4668	364520	203	4	29	3,1
4688	365084	202	5	30	5
4702	365632	202	5	31	3,1,1
4717	366200	202	5	32	2,1,2
4731	366780	202	5	33	2,1,1,1
4748	367388	202	5	34	1,1,1,2
4762	368000	202	5	35	1,1,1,1,1
4777	368632	202	5	36	1,1,1,2
4791	369276	202	5	37	1,1,2,1
4807	369952	202	5	38	1,1,3
4821	370628	202	5	39	1,1,1,1,1
4836	371324	202	5	40	1,1,1,2
4850	372032	202	5	41	1,1,1,1,1
4867	372768	202	5	42	1,1,1,2
4881	373508	202	5	43	1,1,1,1,1
4896	374268	202	5	44	1,2,2
4910	375040	202	5	45	1,3,1
4927	375852	202	5	46	1,4
4941	376656	202	5	47	1,2,1,1
4956	377480	202	5	48	1,1,1,2
4970	378316	202	5	49	1,1,1,1,1
4987	379180	202	5	50	1,1,1,2
5001	380048	202	5	51	1,1,1,1,1
5016	380936	202	5	52	1,1,1,2
5030	381836	202	5	53	1,1,2,1
5046	382768	202	5	54	1,1,3
5060	383700	202	5	55	1,1,1,1,1
5075	384652	202	5	56	1,1,1,2
5089	385616	202	5	57	1,1,1,1,1
5106	386608	202	5	58	2,1,2
5120	387604	202	5	59	2,1,1,1
5135	388620	202	5	60	3,2
5149	389648	202	5	61	4,1
5169	392336	202	5	62	5
5183	393396	202	5	63	3,1,1
5198	394476	202	5	64	2,1,2
5212	395568	202	5	65	2,1,1,1
5229	396688	202	5	66	1,1,1,2
5243	397812	202	5	67	1,1,1,1,1
5258	398956	202	5	68	1,1,1,2
5272	400112	202	5	69	1,1,2,1
5288	401300	202	5	70	1,1,3
5302	402488	202	5	71	1,1,1,1,1
5317	403696	202	5	72	1,1,1,2
5331	404916	202	5	73	1,1,1,1,1
5348	406164	202	5	74	1,1,1,2
5362	407416	202	5	75	1,1,1,1,1
5377	408688	202	5	76	1,2,2
5391	409972	202	5	77	1,3,1
5408	411296	202	5	78	1,4
5422	412612	202	5	79	1,2,1,1
5437	413948	202	5	80	1,1,1,2
5451	415296	202	5	81	1,1,1,1,1
5468	416672	202	5	82	1,1,1,2
5482	418052	202	5	83	1,1,1,1,1
5497	419452	202	5	84	1,1,1,2
5511	420864	202	5	85	1,1,2,1
5527	422308	202	5	86	1,1,3
5541	423752	202	5	87	1,1,1,1,1
5556	425216	202	5	88	1,1,1,2
5570	426692	202	5	89	1,1,1,1,1
5587	428196	202	5	90	2,1,2
5601	429704	202	5	91	2,1,1,1
5616	431232	202	5	92	3,2
5630	432772	202	5	93	4,1
5648	434356	201	6	94	1,5
5662	435928	201	6	95	1,3,1,1
