epoch	K	M	M+K	N_first	N_last	ops_first	ops_last	steps_last	visits
0	4	203	207	14	17	4446	4489	359332	4
1	3	204	207	18	21	4506	4549	360804	4
2	4	203	207	22	29	4565	4668	364520	8
3	5	202	207	30	93	4688	5630	432772	64
4	6	201	207	94	189	5648	7068	655616	96
5	7	200	207	190	253	7088	8028	886096	64
6	8	199	207	1022	1533	19578	27236	19261560	512
7	9	198	207	1534	3069	27257	50274	75911284	1536
8	10	197	207	3070	5117	50297	81002	210166104	2048
9	9	198	207	5118	6141	81025	96362	302458536	1024
10	10	197	207	6142	8189	96384	127081	537375052	2048
11	11	196	207	8190	24573	127107	372843	4832627896	16384
12	12	195	207	24574	49149	372867	741481	19328568500	24576
13	13	194	207	49150	65533	741507	987241	34361238020	16384
