machine	bestK	status	steps	ops
1RB1LC_1LC0RF_0LF1LD_0LE---_1RF1LC_1LE0RA	3	ops-limit	255658046	100000
1RB1LE_1RC0RF_0LD---_1RF1LE_0LF1LC_1LD0RA	3	ops-limit	255599251	100000
1RB0LD_0RC1RB_1RD1RF_0LE1LD_1LA1LE_---0RB	3	ops-limit	249612670	100000
1RB0LC_1LA1RE_1LD1RE_1RE0LA_0RA1RF_0RB---	3	ops-limit	247333248	100000
1RB0LC_1LA1RF_1LD1RF_1LE0LA_0RB---_0RA1RE	3	ops-limit	247306732	100000
1RB0RA_1LC1RA_0LD1LD_0LE0LC_1LA0LF_---1LC	4	ops-limit	241854836	100000
1RB0LA_0RC0RB_1LD1LA_1LC1RE_1RF0RD_1LA---	4	ops-limit	221433551	100000
1RB---_1LC0RB_0LD0LC_1RE1RB_1RD1LF_1LA0LE	4	ops-limit	202416666	100000
1RB0LF_1RC0RA_1LD0RB_0LE0LC_0LA0LC_0LB---	4	ops-limit	197171669	100000
1RB0RF_1LC---_1LF1LD_1RE0LD_0RC0RE_1LC1RA	4	ops-limit	193793243	100000
1RB0LA_0RC0RB_1LD1LA_1LC1RE_1RF0RD_1LC---	4	ops-limit	191721922	100000
1RB0RE_1RC---_0RD0RC_1LE1LF_1LD1RA_1RC0LF	4	ops-limit	191666574	100000
1RB0RF_1LC---_1RD0LC_0RE0RD_1LF1LC_1LE1RA	4	ops-limit	191590119	100000
1RB0LE_1RC0RF_0RD0RB_1RE0RC_1LA0LA_1RA---	4	ops-limit	178472943	100000
1RB1LE_0RC1RC_0RD0RB_1RE0RF_1LA0LE_---1RB	4	ops-limit	133346326	100000
1RB0RE_1LC1RD_1LA0LC_0RA1RF_1RD0LB_1RA---	3	ops-limit	127931550	100000
1RB---_0RC0RD_1LD0RF_0LE0LC_1RA0LC_1RC0RA	4	ops-limit	127742304	100000
1RB1RE_1LC0RA_1RD0LB_1LB1RC_1LF0RD_---0LE	4	ops-limit	126268862	100000
1RB1LC_1LA0RD_1LB1LF_1LE1RE_0LA0RB_0LB---	3	ops-limit	123295233	100000
1RB1LC_1RC0LD_1LA0RB_1LB1LE_1RF0LA_---0RE	4	ops-limit	116456326	100000
1RB0LF_1LC1RA_0RE0RD_---1LE_1LF1RC_1LC1LA	4	ops-limit	114443710	100000
1RB1RF_1RC0LD_1LB1RA_1RE1LE_0RC0LB_0RB---	3	ops-limit	113729116	100000
1RB0RE_1LC1LF_1RA1LD_1LB---_1RF1RF_0LB0RA	3	ops-limit	101016695	100000
1RB1LD_1RC0RA_1LA1RE_0LA0LB_0RB1RF_---1RD	4	ops-limit	94363388	100000
1RB1RB_0LC0RE_1LD1LB_1RE1LF_1RC0RA_1LC---	3	ops-limit	91929004	100000
1RB1RE_0RC0RA_0LD0LF_1LA1LD_0RB0LD_1LC---	4	ops-limit	70898340	100000
1RB---_0RC0RA_1RD1RC_1LE1LF_0LB0LD_0LE0RC	4	ops-limit	70745409	100000
1RB0RE_1LC0RA_0LD0LB_1RE0LB_1RF---_0RB0RC	4	ops-limit	55652069	100000
1RB0RF_1RC1RF_1LD0LE_---1LC_1RA1LE_1LC1RB	4	ops-limit	52824057	100000
1RB0LD_1RC---_0RD0RE_1LE0RF_0LA0LD_1RD0RB	4	ops-limit	51209050	100000
1RB0RB_0LC1RA_1RD1LC_1LA1LE_1LF0LD_---0LA	4	ops-limit	49976700	100000
1RB0LF_0RC---_1RD0RA_1LE0RC_0LA0LE_1LE1LB	3	ops-limit	47462514	100000
1RB0RA_1LC0LE_1RA1LD_0LB1LF_1LD0RC_1LB---	3	ops-limit	39000152	100000
1RB0RF_1LC0RA_0LD0LB_1RD1LE_0RC0RA_1RA---	4	ops-limit	35219762	100000
1RB1RC_1LC0RE_1LD0LB_1RA1LC_1RA0RF_---1RE	4	ops-limit	34266173	100000
1RB0RF_1LC1RA_0LE0LD_0LB1LC_1RD0RA_0RE---	4	ops-limit	33642124	100000
1RB---_1RC0RA_1LD0RB_0LE0LC_1RE1LF_0RD0RB	4	ops-limit	31660740	100000
1RB0LD_0RC1RD_1LA1RA_1LE0LE_1RF0LA_0RA---	3	ops-limit	28104662	100000
1RB1RD_1RC1RB_1LD0RA_1RA0LE_1LF0LC_---1LE	3	ops-limit	27117214	100000
1RB0RA_1RC0LE_1LD0RA_---1LE_0RE0LF_1LB1LC	3	ops-limit	25061893	100000
1RB0LE_0RC0RA_1LC1RD_0LB0LE_1LA0LF_1LE---	4	ops-limit	24865824	100000
1RB0RB_1RC1LC_0LD1RA_1LF1LE_0LA1LC_1LB---	3	ops-limit	22398760	100000
1RB0LE_1LC0RD_0RA1LD_0LC1RA_1LF1LA_---1LA	3	ops-limit	22230162	100000
1RB1RC_1LC0RC_0RA0LD_0LE---_0LF1LD_1LC1LE	4	ops-limit	22228623	100000
1RB0RD_1LC0RA_---1RD_1RA1LE_1RC0LF_1LE0LB	4	ops-limit	21894252	100000
1RB1RA_0LC1RF_0LD1LD_1LE1LC_0RB0RA_---1RE	4	ops-limit	17544901	100000
1RB0LC_1LC0RE_1LD1LB_1LA1LD_1RF0RA_---1RE	3	ops-limit	16745351	100000
1RB1RA_1LC1LE_0LD0LB_0RA0RF_0LC0RA_1RD---	4	ops-limit	15386483	100000
1RB0RD_1LC0RA_1LA0LB_1RE0LC_1LD1RF_0RB---	4	ops-limit	14520717	100000
1RB1RC_1LC0RE_1LD0LB_1RA1LC_1RA0RF_---0RC	4	ops-limit	14231321	100000
1RB0LF_1RC1RA_0RD0RB_1LE---_0LA1LE_1RD1LA	4	ops-limit	13370809	100000
1RB1LF_1RC1RB_1RD0RB_0LE0LF_---1LD_0LE1LA	4	ops-limit	11903392	100000
1RB0LD_1LC1RA_1RA1LC_1LE1LA_0RF1LD_---1RE	4	ops-limit	11872689	100000
1RB0RE_1RC---_0LD1LE_0RE1LD_1RF0LC_0RA1RE	4	ops-limit	11187785	100000
1RB0RA_1LC0RE_0LC0LD_1RD1LB_0RF1RA_0RB---	3	ops-limit	9487233	100000
1RB0LC_1RC1RA_0LD0LF_0LB0LE_1LA1LD_---0RA	4	ops-limit	8952924	100000
1RB0LC_1LC0RE_1LA1LD_1LA1LB_0RF1RA_---0RE	3	ops-limit	8211803	100000
1RB0LE_1RC1RF_1RD0RA_1LE0RC_1LC0LD_0RD---	4	ops-limit	7638844	100000
1RB0LC_1RC0RA_1LA0LD_1LE0RB_1LC1LF_0LA---	4	ops-limit	7602048	100000
1RB0RA_1RC1RF_1LD0LC_1RA1LE_1RA0LC_---0RD	4	ops-limit	7565881	100000
1RB0RC_1LC1RE_1RA1LD_0LC0LA_1RF1RD_---0RD	4	ops-limit	7561186	100000
1RB0RF_1LC0RE_0LC0LD_1RD1LB_0RF1RA_0RB---	3	ops-limit	7335964	100000
1RB1RF_1RC0RA_1LD1RE_1LE0LE_0RA0LD_0RB---	4	ops-limit	7269927	100000
1RB0RB_0LC0RA_1LE1LD_0LE---_1LF0LC_1RA1LB	4	ops-limit	7032250	100000
1RB1RF_1RC0RB_0RD1LF_1LE1RE_1LA---_1RA0LC	4	ops-limit	6746866	100000
1RB0RE_1LC1RD_1LD0LD_0RE0LC_1RA1RF_0RA---	4	ops-limit	6596996	100000
1RB1LC_1LC1RD_1LA0LB_0RB1RE_1RF0RA_---0RC	4	ops-limit	6434740	100000
1RB1RA_1RC1LB_1LD0RA_1LB0LE_1LF1LD_---0LD	4	ops-limit	6257664	100000
1RB1RF_0RC1RE_1LD1RB_0LE0LC_1RA0LC_0RB---	4	ops-limit	6173945	100000
1RB1RC_1LC0RE_1LD0LB_1RA1LC_1RA1RF_---1RD	4	ops-limit	6153726	100000
1RB0LD_1RC1RF_0RD1RA_1LE1RC_0LA0LD_0RC---	4	ops-limit	5953417	100000
1RB0RA_1LC0RD_0LD0LB_1RA1LE_0LC1LF_0LA---	4	ops-limit	5677006	100000
1RB0RE_1RC0LD_1LD0RF_0LB0LA_1LC1RE_---0RE	4	ops-limit	5533222	100000
1RB---_0RC0LA_1LD0RB_1LE0LF_1RC1LF_0LC0LB	4	ops-limit	5402468	100000
1RB---_0RC0RD_1LD1RB_0LE0LC_1RA0LF_1LD1LE	4	ops-limit	5290780	100000
1RB1RF_1RC0RE_1LD0RB_1RE0LC_1RA0LE_0RC---	4	ops-limit	5253702	100000
1RB---_0LC1RF_0LD1LC_1RE1LB_0RE1LA_0RB0RA	4	ops-limit	5015687	100000
1RB0LC_1RC0RA_1LA0LD_1LE0RB_1RD1LF_0LA---	4	ops-limit	4927353	100000
1RB1LE_1RC0RB_1LD0RA_0LA0LC_0LD1LF_0LB---	4	ops-limit	4763141	100000
1RB---_0LC1RF_1RA1LD_0LE1RF_0LC1LE_0RD0RA	4	ops-limit	4605852	100000
1RB0LC_1LC0RE_1LD1LC_1LA1RD_---0RF_0LB0RD	4	ops-limit	4597211	100000
1RB1RA_1RC1LB_1LD0RA_1LA0LE_---0LF_0RC0LB	4	ops-limit	4523822	100000
1RB1LD_1RC---_0LD1RE_0LF1RE_0RC0RB_0LA1LF	4	ops-limit	4458638	100000
1RB0LC_1LA1RB_0LD1LC_1RE1LF_0RE0RB_---0LE	4	ops-limit	3981109	100000
1RB1LC_1RC---_1LD1LC_1RE0LC_1RF0RE_1RA0RD	4	ops-limit	3889470	100000
1RB1LA_1LA0RC_1RD1RC_1LE0RC_---0LF_1LE0LA	4	ops-limit	3887102	100000
1RB1RA_1LC1LB_1RE0LD_1RA0LB_---0RF_1RC0RA	4	ops-limit	3771726	100000
1RB0LE_0RC0RD_1LC0RB_0RE1RD_1LF1LE_0LA---	4	ops-limit	3733815	100000
1RB0RA_1RC0RF_1RD1LE_1RE---_1LF1LE_1RA0LE	4	ops-limit	3672043	100000
1RB1RA_0LC0RE_1LF1LD_1LA0LA_1LC1RB_---1LC	4	ops-limit	3462152	100000
1RB0LC_1RC---_1LD0RE_0LA1LD_1RC1RF_0RE1RA	4	ops-limit	2902080	100000
1RB1LA_1LC0RE_---0LD_1LA0LF_1RA1RE_1LA0LB	4	ops-limit	2827718	100000
1RB1LA_1LC0RE_1LF1LD_0RB0LA_1RC1RE_---0LD	4	ops-limit	2659927	100000
1RB1LE_0LC0RF_1LD1RD_1RC1RA_0LB0LA_0RC---	4	ops-limit	2500899	100000
1RB1RC_1LA1RA_1RE1LD_0LE0LC_0LB0RF_0RB---	4	ops-limit	2480970	100000
1RB1LC_1LA1RB_1LD0LA_1RE0RF_---1RD_0RE1RB	4	ops-limit	2027287	100000
1RB0LC_1LA1RF_1LD0LE_1RE0RA_1LC0RD_0RE---	4	ops-limit	2020516	100000
1RB1LA_1LA1RC_1RD0RB_1LE0LF_---1LD_0LE1LA	4	ops-limit	1981468	100000
1RB1LD_1LC0RE_1LA0LD_0LB0LE_0RB0LF_1RE---	4	ops-limit	1512064	100000
1RB1RE_0LC1RF_---1LD_1LE0LD_1LA1LB_1RF0RA	4	ops-limit	1455566	100000
1RB0RD_1LC0RA_1LA0LB_1RE0LC_1RA1RF_0RB---	4	ops-limit	1433080	100000
1RB0LF_0RC0RB_1LC1LD_1RE0RD_---0RA_1LA0LF	4	ops-limit	1331286	100000
1RB0RD_0LC0LF_1RD1LB_0RE---_1RA0LC_0LA1LF	3	ops-limit	1328073	100000
1RB1LE_1LC0RA_0RF0LD_1LE1LA_1RC0LB_---1RC	4	ops-limit	1319859	100000
1RB1RA_0LC0RF_1LD1LC_1RE1LB_---0RA_1RF0RD	4	ops-limit	1307913	100000
1RB1RA_1LC1RE_---0LD_1LE1LD_0RA0LF_1LF0LB	4	ops-limit	1305943	100000
1RB0RD_1RC1RF_1LD0LE_1RA0LC_1RE1LC_0RA---	4	ops-limit	1302723	100000
1RB0RC_1LC0RD_0LD0LC_1RE0LA_0RA0RF_1LB---	4	ops-limit	1269149	100000
1RB0LC_0RC0RF_1RD0RE_1LE0RA_0LA0LE_1RA---	4	ops-limit	1269101	100000
1RB0LC_0RC0RB_1LD0RE_0LE0LF_1LA0LB_1LC---	4	ops-limit	1268080	100000
1RB0LC_0RC0RB_1LD0RE_0LE0LF_1LA0LB_0RA---	4	ops-limit	1264817	100000
1RB0LC_0RC0RB_1LD0RE_0LE1LF_1LA0LB_0LD---	4	ops-limit	1264121	100000
1RB0LC_0RC0RB_1LD0RE_0LE0LF_1LA0LB_0LE---	4	ops-limit	1264054	100000
1RB0LC_0RC0RF_1RD0RE_1LE0RA_0LA0LE_0RA---	4	ops-limit	1261971	100000
1RB0LE_0LC0RF_1LD1LC_1RA0RD_0LA1LA_1RD---	4	ops-limit	1261679	100000
1RB0LC_0RC1RF_1RD0RE_1LE0RA_0LA0LE_0RE---	4	ops-limit	1261378	100000
1RB0LC_0RC0RB_1LD0RE_0LE1LF_1LA0LB_0LB---	4	ops-limit	1260272	100000
1RB0LC_0RC0RB_1LD0RE_0LE1LF_1LA0LB_1LD---	4	ops-limit	1260268	100000
1RB0LC_0RC0RF_1RD0RE_1LE0RA_0LA0LE_0RC---	4	ops-limit	1259516	100000
1RB0LC_0RC0RF_1RD0RE_1LE0RA_0LA0LE_1RE---	4	ops-limit	1258673	100000
1RB0LC_0RC0RB_1LD0RE_0LE0LF_1LA0LB_1LB---	4	ops-limit	1257644	100000
1RB0RC_1LC0RD_0LD0LC_1RE0LA_0RA1RF_0RC---	4	ops-limit	1257285	100000
1RB0RC_1LC0RD_0LD0LC_1RE0LA_0RA1RF_1RE---	4	ops-limit	1257283	100000
1RB0RC_1LC0RD_0LD0LC_1RE0LA_0RA0RF_0LB---	4	ops-limit	1256779	100000
1RB0RC_1LC0RD_0LD0LC_1RE0LA_0RA0RF_0RA---	4	ops-limit	1256487	100000
1RB0LC_0RC0RF_1RD0RE_1LE0RA_0LA0LE_0LD---	4	ops-limit	1252492	100000
1RB0LC_0RC1RF_1RD0RE_1LE0RA_0LA0LE_0RB---	4	ops-limit	1251084	100000
1RB0RC_1LC0RD_0LD0LC_1RE0LA_0RA1RF_0RE---	4	ops-limit	1250907	100000
1RB0LD_1RC0RF_1LA1RF_0LA0RE_1LD---_0RA0RD	4	ops-limit	1248355	100000
1RB0LC_0RC0RB_1LD0RE_0LE0LF_1LA0LB_0LC---	4	ops-limit	1247916	100000
1RB0LC_0RC0RF_1RD0RE_1LE0RA_0LA0LE_1LD---	4	ops-limit	1247837	100000
1RB0LC_0RC1RF_1RD0RE_1LE0RA_0LA0LE_1RE---	4	ops-limit	1247555	100000
1RB0LC_0RC0RB_1LD0RE_0LE0LF_1LA0LB_1RA---	4	ops-limit	1246888	100000
1RB0LC_0RC0RB_1LD0RE_0LE1LF_1LA0LB_1LB---	4	ops-limit	1246414	100000
1RB0RC_1LC0RD_0LD0LC_1RE0LA_0RA0RF_0RD---	4	ops-limit	1244799	100000
1RB0RC_1LC0RD_0LD0LC_1RE0LA_0RA0RF_1RD---	4	ops-limit	1241349	100000
1RB1LF_1LC0RD_0LD0LC_1RE0LA_0RA0RC_0RE---	4	ops-limit	1239678	100000
1RB0LC_0RC0RE_1RD1LF_1LE0RA_0LA0LE_0RB---	4	ops-limit	1235423	100000
1RB1LF_1LC0RD_---1LA_0LA0RE_1LA1RA_1LB0LD	4	ops-limit	1235165	100000
1RB0LC_0RC0RB_1LD0RE_0LE0LB_1LA1RF_0LD---	4	ops-limit	1234260	100000
1RB0LD_1RC0RA_1RD1RF_1LA0LE_1RE1LD_0RB---	4	ops-limit	1220005	100000
1RB1RF_1LC0LE_1RD0LB_1RA0RC_1RE1LB_0RD---	4	ops-limit	1218931	100000
1RB0RE_1LC0RA_1LD0LB_1LA1LF_1LE1RA_0LC---	4	ops-limit	1218760	100000
1RB0RE_0RC---_1LD0RA_0LA0LD_1LC1RF_1RC0RE	4	ops-limit	1178501	100000
1RB1LE_0RC---_1RD0LA_1RE0RB_0LA0LF_0LD1LF	3	ops-limit	1100990	100000
1RB0LC_0RC0RF_1LD1RE_0LA0RA_0RA0RE_0RB---	4	ops-limit	1062619	100000
1RB1LE_0RC0LC_1LD0RA_0LA0LF_0LC0LE_0LD---	4	ops-limit	1051887	100000
1RB0LC_1LA0RE_0LD0LB_1RA1LD_0RC1RF_0RA---	3	ops-limit	1016451	100000
1RB0RD_1LC1LB_---1LD_1RA0RE_1RD0LF_1LE0LD	4	ops-limit	1001094	100000
1RB0RC_1LC0LD_1RA0LB_1LE0RA_1RA1LF_0LC---	4	ops-limit	993810	100000
1RB0RC_1LC1RF_1RE0LD_1LC1LA_---1RD_0RB0RA	4	ops-limit	962176	100000
1RB1RE_1LC1RE_---1LD_1LE0LB_0RF0LD_1RD1RA	4	ops-limit	961348	100000
1RB0RE_1LC0RE_1LA1LD_0LB1LF_1RC1RA_1LB---	4	ops-limit	908231	100000
1RB0RA_1RC0LC_0LD1RF_1RA1LE_1LD0LB_0RE---	4	ops-limit	906978	100000
1RB1RF_1LC1LF_0RE1LD_0LB1LD_---1RC_1RA0RD	4	ops-limit	904269	100000
1RB1RF_1RC1RB_1LD0RA_1LA1LE_---0LF_0LC1LF	4	ops-limit	899029	100000
1RB0RE_1RC0RA_0LD0LB_0LA1LE_1LC1LF_0LA---	4	ops-limit	894634	100000
1RB0RC_1LC0LD_1RA0LB_1LE0RA_1RD1LF_0LC---	4	ops-limit	870033	100000
1RB0LF_1LC1RA_0RD1LB_0LA0RE_1RC1RB_---0LD	3	ops-limit	853250	100000
1RB0RA_0RC1LD_0LD0RE_1LB1LE_1RA0LF_0LC---	4	ops-limit	851944	100000
1RB0RF_1LC0RA_1LD1LB_0LE---_1LA0LA_1RE1LD	4	ops-limit	843077	100000
1RB0RB_1LC0RA_1LE0LD_1LC1LF_1RA0LD_1LC---	4	ops-limit	841875	100000
1RB0RE_1LC0RE_1LD0LD_1RA0LC_1RA1RF_1RA---	4	ops-limit	840355	100000
1RB0LE_1RC0RC_1LD0RB_1LA0LE_1LD1LF_1LD---	4	ops-limit	838281	100000
1RB0RE_1LC0RD_1LD0LD_1RA0LC_1RA1RF_1RA---	4	ops-limit	837837	100000
1RB0LC_1RC0RC_1LD0RB_1LA0LE_1LD1LF_1LD---	4	ops-limit	833353	100000
1RB1LC_0LC---_1RE1LD_1RD0LA_1RF0RC_0RA1RC	4	ops-limit	826354	100000
1RB0LD_1RC1RB_1RD0RA_0LE1LF_---1LA_1LA0LC	4	ops-limit	814877	100000
1RB0RE_0RC1RE_1RD1LE_0LE---_1RA1LF_1RF0LC	4	ops-limit	798997	100000
1RB0RC_1LC1RF_1RA1LD_1RD0LE_1LD1LC_0RE---	4	ops-limit	796943	100000
1RB0RE_1LC0RA_0LD1LB_1LA1LE_0LB0LF_1LD---	4	ops-limit	794943	100000
1RB1RE_1LC0LE_1RD0LB_0RA1RC_0RC0RF_1RA---	4	ops-limit	792122	100000
1RB0LD_0RC1RA_1RD1RE_1LA0LE_0RA0RF_1RC---	4	ops-limit	792054	100000
1RB0LF_0LC0RE_0RA1LD_1LB0LD_0RA1RC_1LA---	4	ops-limit	791874	100000
1RB---_1RC1RE_1LD0LE_1RF0LC_0RD0RA_0RB1RD	4	ops-limit	789471	100000
1RB1RD_1LC0LE_1RA0LB_1RA1RF_0RA0RC_1RE---	4	ops-limit	784913	100000
1RB0RE_0RC0RA_1LD0RF_1LA0LD_1RA0LC_0RD---	4	ops-limit	776749	100000
1RB1LF_1RC0RB_1LD0LE_0LA0LC_1LC0RA_1LE---	4	ops-limit	776423	100000
1RB0RA_1LC0LE_0LD0LB_1RA0LF_1LB0RD_1LD---	4	ops-limit	776406	100000
1RB---_1RC0LE_1RD0RB_0RE0RC_1LF1RA_1LC0LF	4	ops-limit	774827	100000
1RB---_1LC0RA_1LD0LC_1RE0RF_0RB0RD_1RD0LB	4	ops-limit	774604	100000
1RB0LF_1RC0RB_1LD0LE_0LA0LC_1LC0RA_1LA---	4	ops-limit	774160	100000
1RB0RE_0RC0RA_1LD0RF_1LA0LD_1RA0LC_1RC---	4	ops-limit	772734	100000
1RB0LD_1RC0RA_0RD0RB_1LE1RF_1LB0LE_1RA---	4	ops-limit	771090	100000
1RB1LB_1LC1LA_1RD0LB_1RA1RE_1RF0RD_---1RD	4	ops-limit	769194	100000
1RB0RA_1LC0LE_0LD0LB_1RA1LF_1LB0RD_1LE---	4	ops-limit	768993	100000
1RB0RE_0RC0RA_1LD1RF_1LA0LD_1RA0LC_1RE---	4	ops-limit	768775	100000
1RB0RE_1LC1LF_1RA0LD_1LB---_1RF1RA_0LB0RA	3	ops-limit	765919	100000
1RB1RE_1LC0RF_1LA0LD_1LE1LC_0RA0LC_1RA---	3	ops-limit	765094	100000
1RB1RE_0LC0RE_1LD1LB_1RE0LF_1RC0RA_1LC---	3	ops-limit	765059	100000
1RB---_0RC0LD_1RD1RC_1LB0LE_1LF0RA_0LD1LA	3	ops-limit	748697	100000
1RB0RD_0LC0RA_1LA1LC_1RE0LF_0RA1RF_1LB---	3	ops-limit	747172	100000
1RB0LE_1RC0LB_1RD0RC_1LA1RC_---1LF_1LB1LD	4	ops-limit	736590	100000
1RB0RF_1RC1RF_1LD1RA_---0LE_1LA0LE_0RA0LC	3	ops-limit	734387	100000
1RB1RF_0RC0RE_0RD1RA_1LE0LA_1LB0LD_0RD---	4	ops-limit	731299	100000
1RB1RE_1LC0RA_0RD1LB_---1RC_1LF1RE_0LB0LE	4	ops-limit	720760	100000
1RB0RB_1LC0LF_1RD0LB_1RE1RC_0RA---_1LA1RE	4	ops-limit	719436	100000
1RB---_1RC0LD_0LB0RE_1LB1LC_1RD1RF_1RD1RA	4	ops-limit	717372	100000
1RB0RA_1LC0LD_1LE1LD_0LB0RE_1RF0LA_---0RA	3	ops-limit	712040	100000
1RB0LF_1RC1RB_0RD0RC_1LE1LF_1LD---_0LB1LA	4	ops-limit	702456	100000
1RB1RF_1LC0RD_---0LD_1LE0LD_1RA0RF_0RE0LB	3	ops-limit	695736	100000
1RB1LA_1RC0LD_1LB0RE_0LA0LC_0RD1RF_0RB---	3	ops-limit	688269	100000
1RB0RF_1LC1RA_0RD0LC_1LB1RE_---0RA_1RC1RA	4	ops-limit	687525	100000
1RB1RF_1LC1RE_---0LD_1LE0LD_1RA0RF_0RE0LB	3	ops-limit	681277	100000
1RB1RC_1LC0LE_0RA1RD_1RF1LB_1LD0LA_---0RC	4	ops-limit	669243	100000
1RB0LE_0RC0RB_1LD0LD_1RA1LC_---1LF_1LA0LC	4	ops-limit	662102	100000
1RB0LC_1LA0RD_0LD1LF_0RE0RA_1LB1RE_0LB---	3	ops-limit	658751	100000
1RB0RF_1RC1RF_1LD0RE_---0LE_1LA0LE_0RA0LC	3	ops-limit	653571	100000
